都道府県,気温,湿度,風速,日射量,乾燥時間(分)
福井県,33.4,39,1.7,0.21,211
福井県,29.6,83,1.9,0.68,369
山梨県,13.1,67,1.4,0.5,444
山梨県,13.5,86,3.2,0.52,465
山梨県,30.0,72,3.9,0.39,287
山梨県,25.4,87,4.6,0.97,310
山梨県,18.4,69,1.8,0.24,431
山梨県,10.7,53,4.8,0.3,355
山梨県,17.6,79,3.1,0.12,460
山梨県,14.6,31,2.9,0.25,287
山梨県,30.3,30,0.9,0.48,154
山梨県,16.8,34,4.8,0.24,240
長野県,29.9,55,1.1,0.15,298
長野県,18.5,58,1.3,0.57,363
長野県,29.2,75,4.4,0.79,259
長野県,28.2,71,2.1,0.67,322
長野県,19.8,61,1.9,0.82,334
長野県,34.2,39,4.4,0.74,81
長野県,18.7,41,4.5,0.41,246
長野県,27.2,32,2.7,0.57,163
長野県,24.0,87,4.0,0.75,380
長野県,25.7,79,4.2,0.93,287
岐阜県,30.4,47,3.2,0.33,206
岐阜県,16.8,38,1.2,0.28,340
岐阜県,22.4,42,4.0,0.33,245
岐阜県,34.9,63,3.8,0.43,199
岐阜県,11.9,42,4.9,0.55,274
岐阜県,22.2,63,4.2,0.87,272
岐阜県,22.3,88,1.2,0.13,476
岐阜県,16.9,64,3.5,0.91,310
岐阜県,31.6,75,4.8,0.52,247
岐阜県,12.4,89,4.8,0.94,430
静岡県,34.7,79,1.0,0.59,296
静岡県,10.1,81,1.6,0.65,508
静岡県,27.1,48,3.2,0.45,197
静岡県,10.7,50,3.0,0.56,339
静岡県,24.8,69,2.7,0.42,332
静岡県,22.9,70,0.9,0.53,359
静岡県,32.5,57,1.2,0.16,267
静岡県,25.2,71,4.3,0.31,296
静岡県,16.2,33,4.3,0.32,216
静岡県,19.1,65,1.3,0.26,394
愛知県,18.6,49,2.4,0.38,331
愛知県,34.1,60,0.7,0.41,242
愛知県,11.1,86,2.4,0.67,480
愛知県,13.7,52,2.1,0.35,359
愛知県,20.1,49,3.9,0.63,254
愛知県,22.6,49,3.2,0.14,271
愛知県,30.2,73,2.3,0.72,274
愛知県,15.6,71,1.4,0.87,393
愛知県,34.2,37,0.8,0.19,194
愛知県,33.6,30,4.8,0.25,76
三重県,21.4,52,3.5,0.39,265
三重県,17.8,40,1.1,0.24,313
三重県,16.8,84,0.9,0.98,438
三重県,34.6,48,4.0,0.91,106
三重県,22.4,82,2.0,0.71,394
三重県,29.3,57,1.0,0.16,294
三重県,27.5,61,1.0,0.32,297
三重県,15.3,53,3.5,0.26,333
三重県,23.1,74,4.0,0.21,368
三重県,26.2,73,4.2,0.6,281
滋賀県,12.0,52,0.8,0.3,433
滋賀県,18.5,78,4.8,0.9,341
滋賀県,17.5,76,3.1,0.62,402
滋賀県,15.3,88,2.4,0.65,472
滋賀県,24.2,58,3.4,0.18,314
滋賀県,12.1,80,4.3,0.99,398
滋賀県,23.7,86,0.9,0.51,473
滋賀県,23.3,80,0.9,0.18,452
滋賀県,10.5,78,1.2,0.17,549
滋賀県,16.6,60,0.7,0.62,397
京都府,22.9,56,4.6,0.48,255
京都府,13.7,72,4.0,0.48,401
京都府,18.1,85,4.3,0.64,413
京都府,10.4,40,3.2,0.11,375
京都府,27.9,52,1.1,0.48,269
京都府,10.9,44,2.0,0.29,393
京都府,13.4,66,1.0,0.85,425
京都府,19.6,33,0.9,0.49,269
京都府,29.8,36,1.2,0.96,146
京都府,12.6,71,0.9,0.5,478
大阪府,34.1,65,2.6,0.49,236
大阪府,14.3,48,0.8,0.67,336
大阪府,15.9,71,3.7,0.53,372
大阪府,13.3,34,4.5,0.78,209
大阪府,22.3,44,1.5,0.16,292
大阪府,33.1,44,2.3,0.22,191
大阪府,24.6,76,4.4,0.49,305
大阪府,17.2,59,2.7,0.16,385
大阪府,15.0,70,3.3,0.92,336
大阪府,20.8,57,3.1,0.73,274
兵庫県,20.5,76,0.9,0.14,468
兵庫県,15.0,77,0.9,0.94,432
兵庫県,14.7,42,2.7,0.29,323
兵庫県,30.8,72,4.0,0.56,270
兵庫県,14.9,89,1.4,0.31,516
兵庫県,13.2,38,1.7,0.92,289
兵庫県,32.4,79,3.3,0.64,270
兵庫県,12.2,82,3.5,0.6,474
兵庫県,14.4,40,1.8,0.69,282
兵庫県,12.9,79,0.6,0.76,452
奈良県,31.5,75,1.0,0.47,333
奈良県,33.1,80,3.0,0.98,253
奈良県,30.6,59,1.0,0.48,273
奈良県,29.7,77,1.4,0.23,374
奈良県,16.1,31,4.0,0.63,208
奈良県,15.8,67,4.4,0.3,382
奈良県,17.1,36,1.5,0.4,284
奈良県,31.7,59,1.6,0.12,300
奈良県,17.3,37,4.6,0.29,267
奈良県,28.6,58,3.8,0.39,253
和歌山県,14.6,33,1.6,0.94,223
和歌山県,22.3,51,4.3,0.33,263
和歌山県,17.1,41,3.0,0.57,262
和歌山県,32.8,59,3.1,0.6,187
和歌山県,31.8,31,0.6,0.88,129
和歌山県,10.7,87,3.1,0.9,473
和歌山県,28.8,68,4.9,0.27,265
和歌山県,25.8,64,3.8,0.63,246
和歌山県,18.9,89,2.1,0.93,392
和歌山県,31.8,38,2.7,0.44,151
鳥取県,32.2,34,2.2,0.86,115
鳥取県,12.3,72,2.9,0.63,440
鳥取県,21.1,79,2.0,0.58,431
鳥取県,23.8,35,1.1,0.44,249
鳥取県,13.9,77,0.6,0.35,535
鳥取県,21.2,39,2.0,0.83,228
鳥取県,20.3,59,4.5,0.68,292
鳥取県,18.1,35,3.0,0.3,278
鳥取県,19.1,48,4.3,0.17,326
鳥取県,16.3,39,3.1,0.65,294
島根県,28.2,48,3.9,0.94,180
島根県,26.2,64,4.1,0.37,298
島根県,16.9,63,0.8,0.55,436
島根県,17.5,33,2.1,0.53,264
島根県,24.1,84,2.3,0.82,396
島根県,18.3,46,3.8,0.75,266
島根県,19.8,63,2.6,0.44,399
島根県,27.0,56,1.4,0.58,299
島根県,17.6,58,3.6,0.62,338
島根県,15.1,69,4.2,0.12,437
岡山県,17.4,85,2.3,0.88,399
岡山県,21.9,64,0.9,0.93,302
岡山県,17.7,79,1.2,0.37,466
岡山県,23.6,30,1.9,0.18,208
岡山県,10.1,33,2.6,0.67,249
岡山県,34.8,43,3.2,0.77,85
岡山県,15.5,49,2.6,0.81,286
岡山県,10.5,52,3.4,0.78,317
岡山県,30.6,32,4.0,0.86,59
岡山県,32.4,49,2.3,0.24,205
広島県,20.8,78,4.8,0.48,364
広島県,24.3,38,2.7,0.15,229
広島県,20.7,52,0.8,0.71,299
広島県,12.0,42,2.2,0.56,328
広島県,13.5,33,1.6,0.68,287
広島県,27.5,31,4.1,0.5,127
広島県,23.7,69,3.1,0.21,354
広島県,25.8,41,2.9,0.6,172
広島県,17.5,80,4.8,0.34,394
広島県,20.1,65,2.7,0.69,322
山口県,32.5,48,3.4,0.11,212
山口県,33.7,68,3.2,0.63,231
山口県,14.7,85,2.5,0.24,505
山口県,31.4,52,5.0,0.19,189
山口県,33.0,85,4.5,0.78,260
山口県,18.7,67,3.6,0.89,302
山口県,13.4,40,3.9,0.5,283
山口県,21.0,41,4.1,0.3,225
山口県,32.9,56,3.5,0.24,239
山口県,12.1,64,4.5,0.25,389
徳島県,30.9,45,2.2,0.71,157
徳島県,26.8,36,4.2,0.73,130
徳島県,18.5,59,4.9,0.17,317
徳島県,30.3,52,0.7,0.91,198
徳島県,14.3,37,1.8,0.21,340
徳島県,27.6,75,3.5,0.38,350
徳島県,14.4,67,1.5,0.32,432
徳島県,13.6,44,1.6,0.1,380
徳島県,34.1,89,3.7,0.59,305
徳島県,27.8,85,4.1,0.3,349
香川県,31.3,62,0.8,0.23,295
香川県,34.4,64,1.4,0.11,276
香川県,24.2,88,2.8,0.5,401
香川県,17.1,84,3.8,0.29,429
香川県,17.4,78,1.4,0.12,494
香川県,13.8,46,0.7,0.15,399
香川県,11.4,52,1.6,0.25,408
香川県,13.5,62,3.6,0.66,338
香川県,10.5,83,4.4,0.29,482
香川県,32.4,74,3.1,0.39,283
愛媛県,10.8,49,4.9,0.81,277
愛媛県,17.8,62,2.6,0.91,296
愛媛県,15.4,44,3.8,0.7,234
愛媛県,11.5,41,3.4,0.89,262
愛媛県,24.1,90,3.6,0.79,369
愛媛県,14.9,74,3.1,0.99,351
愛媛県,29.8,64,3.3,0.53,239
愛媛県,29.4,68,1.0,0.98,255
愛媛県,19.1,77,1.7,0.12,455
愛媛県,27.5,32,0.5,0.21,222
高知県,28.2,75,1.3,0.99,282
高知県,32.7,73,4.0,0.42,247
高知県,16.0,79,1.8,0.43,420
高知県,28.8,42,3.0,0.64,154
高知県,22.1,44,0.9,0.93,222
高知県,19.8,85,3.0,0.35,413
高知県,23.6,54,3.0,0.9,206
高知県,27.8,52,1.2,0.73,228
高知県,10.1,40,2.9,0.55,301
高知県,17.9,78,4.2,0.34,382
福岡県,23.5,30,4.1,0.14,172
福岡県,33.8,79,4.1,0.11,284
福岡県,29.3,76,2.6,0.45,315
福岡県,23.3,82,1.1,0.59,411
福岡県,28.8,46,3.5,0.29,190
福岡県,30.8,52,0.9,0.87,188
福岡県,23.0,51,4.4,0.62,216
福岡県,19.6,48,2.2,0.52,290
福岡県,18.4,76,1.2,0.94,390
福岡県,35.0,47,3.9,0.27,137
佐賀県,15.8,66,1.8,0.96,356
佐賀県,20.1,73,3.0,0.77,346
佐賀県,15.2,44,1.5,0.25,339
佐賀県,24.7,87,3.0,0.78,359
佐賀県,18.8,64,3.5,0.84,316
佐賀県,30.3,78,4.5,0.31,306
佐賀県,16.0,51,2.5,0.74,298
佐賀県,24.6,36,4.6,0.67,132
佐賀県,17.7,61,1.8,0.65,367
佐賀県,24.9,57,0.8,0.46,327
長崎県,31.3,45,1.9,0.52,180
長崎県,19.1,60,2.7,0.64,307
長崎県,15.6,44,3.1,0.25,304
長崎県,20.4,87,0.6,0.94,425
長崎県,30.3,38,2.3,0.74,149
長崎県,16.8,36,3.4,0.1,281
長崎県,13.8,55,2.5,0.17,393
長崎県,23.2,60,1.6,0.5,313
長崎県,18.3,40,2.1,0.31,287
長崎県,21.3,35,4.2,0.9,131
熊本県,25.8,47,4.9,0.56,178
熊本県,18.4,85,3.2,0.78,398
熊本県,20.9,51,1.6,0.11,345
熊本県,26.2,47,3.2,0.56,216
熊本県,21.3,79,1.1,0.87,376
熊本県,33.3,48,4.8,0.96,79
熊本県,29.0,86,4.9,0.23,334
熊本県,31.2,69,0.7,0.72,272
熊本県,28.6,51,1.9,0.35,230
熊本県,19.6,61,3.9,0.29,315
大分県,11.6,42,3.9,0.28,305
大分県,32.4,31,0.6,0.92,129
大分県,29.9,69,1.9,0.84,271
大分県,20.6,61,4.7,0.15,311
大分県,10.8,88,2.3,0.54,517
大分県,14.4,87,4.2,0.81,422
大分県,10.5,49,0.5,0.23,428
大分県,10.4,77,2.0,0.11,535
大分県,28.7,80,4.1,0.19,338
大分県,29.6,65,0.8,0.72,268
宮崎県,12.6,47,0.8,0.97,304
宮崎県,13.7,37,3.2,0.25,306
宮崎県,15.0,38,4.7,0.73,224
宮崎県,25.3,75,2.4,0.27,373
宮崎県,17.0,44,4.6,0.84,188
宮崎県,22.0,85,4.8,0.39,354
宮崎県,15.7,62,4.4,0.12,373
宮崎県,27.4,66,2.4,0.38,278
宮崎県,33.9,32,1.6,0.65,117
宮崎県,18.9,52,1.5,0.98,268
鹿児島県,13.2,56,3.6,0.59,339
鹿児島県,29.8,77,2.1,0.48,317
鹿児島県,10.4,45,2.6,0.43,334
鹿児島県,32.3,66,4.1,0.65,207
鹿児島県,34.3,76,3.1,0.45,263
鹿児島県,15.5,50,1.9,0.46,321
鹿児島県,19.2,87,1.7,0.82,411
鹿児島県,12.0,67,4.6,0.36,396
鹿児島県,15.3,59,2.3,0.11,384
鹿児島県,22.7,47,2.3,0.41,259
沖縄県,14.9,83,1.7,0.23,522
沖縄県,33.9,48,1.9,0.62,186
沖縄県,18.6,38,2.8,0.74,245
沖縄県,20.0,35,1.0,0.68,261
沖縄県,34.9,84,3.1,0.57,305
沖縄県,34.0,85,4.3,0.52,293
沖縄県,14.0,60,4.0,0.71,324
沖縄県,13.5,69,4.4,0.92,360
沖縄県,27.6,65,4.7,0.72,244
沖縄県,21.1,56,2.8,0.97,271
