地方,気温,湿度,風速,日射量,乾燥時間
九州,20.3,61,4.6,0.39,273
中国,28.9,49,4.2,0.83,165
関東,15.7,78,4.8,0.33,409
四国,11.9,46,3.8,0.71,310
中国,17.2,56,3.3,0.78,308
四国,14.0,35,2.4,0.64,312
近畿,33.2,32,4.7,0.52,54
九州,30.2,88,4.4,0.47,306
北陸,25.8,80,0.7,0.41,434
関東,31.8,72,0.6,0.94,268
関東,30.1,55,2.2,0.85,189
北海道,14.7,40,4.1,0.97,272
四国,32.3,39,4.9,0.21,160
東北,23.5,45,1.2,0.76,264
関東,30.2,63,3.2,0.94,189
四国,32.4,73,2.2,0.26,328
四国,18.0,70,4.9,0.16,373
中部,12.8,47,4.3,0.77,287
中部,15.7,87,4.3,0.62,434
北陸,20.7,74,2.6,0.86,355
近畿,30.5,63,2.4,0.23,312
北陸,31.5,67,1.7,0.82,310
中国,10.2,55,0.8,0.28,446
東北,22.8,45,4.4,0.25,258
中国,20.4,51,4.2,0.25,298
沖縄,15.6,75,5.0,0.83,364
中国,13.0,31,5.0,0.7,219
北海道,18.4,37,3.0,0.57,303
中国,33.6,33,4.0,0.42,98
北陸,18.1,32,4.8,0.89,174
関東,23.0,81,4.3,0.45,339
関東,27.6,72,1.6,0.83,291
中部,19.1,58,2.5,0.5,335
東北,34.3,36,1.1,0.44,210
東北,34.1,59,4.8,0.52,190
北海道,16.3,58,3.2,0.37,394
北陸,22.4,40,1.5,0.77,259
中部,17.5,56,3.5,0.55,331
沖縄,17.1,54,3.3,0.31,385
東北,10.9,67,2.1,0.91,419
関東,25.2,68,1.0,0.45,348
中国,22.6,33,3.5,0.59,196
中国,11.3,52,2.8,0.92,341
中部,17.0,68,4.0,0.66,371
北陸,32.7,60,2.8,0.21,295
北陸,16.0,81,4.3,0.95,395
近畿,13.6,70,3.0,0.66,401
九州,22.2,40,3.0,0.4,237
東北,34.6,34,4.4,0.23,140
北陸,16.1,69,2.3,0.81,410
関東,26.8,32,1.1,0.66,190
中部,29.0,65,0.6,0.58,330
沖縄,15.9,86,3.9,0.9,435
近畿,28.2,65,3.3,0.81,245
四国,19.2,53,3.7,0.24,320
北海道,25.8,69,1.5,0.38,392
沖縄,25.8,57,1.1,0.32,351
四国,23.4,63,0.6,0.77,323
中国,12.3,86,2.1,0.13,558
北海道,30.9,53,3.2,0.61,225
東北,18.0,88,2.3,0.79,463
関東,14.7,84,2.5,0.89,450
北海道,11.0,42,4.6,0.41,339
九州,24.8,34,2.1,0.84,153
四国,26.9,36,2.8,0.2,192
東北,10.4,31,4.0,0.86,265
九州,22.8,36,2.3,0.21,242
中国,15.7,71,3.3,0.46,439
九州,26.1,34,4.4,0.82,94
近畿,14.4,49,4.8,0.23,316
近畿,27.3,81,1.2,0.31,404
中部,19.7,31,4.7,0.75,178
沖縄,33.4,79,2.7,0.75,282
沖縄,13.4,47,1.7,0.68,348
東北,18.5,37,2.6,0.72,265
中国,12.8,72,4.9,0.59,390
北陸,33.1,68,2.7,0.33,297
近畿,31.9,83,2.0,0.41,347
東北,16.4,74,3.4,0.26,467
北陸,26.5,78,1.6,0.92,347
沖縄,30.4,47,0.8,0.63,231
中部,23.9,41,1.1,0.46,248
九州,23.2,75,1.1,0.52,399
近畿,16.0,78,1.2,0.95,393
東北,12.3,89,1.1,0.24,584
北海道,32.4,55,3.4,0.63,224
北陸,32.5,52,1.3,0.56,275
九州,25.8,77,2.1,0.65,332
近畿,18.5,50,4.5,0.12,293
沖縄,18.7,86,2.6,0.88,445
中国,28.1,82,3.5,0.94,275
北陸,32.4,56,1.3,0.61,229
沖縄,32.2,75,1.4,0.73,314
近畿,29.5,75,0.7,0.93,300
