地方,気温(C),湿度(%),風速(m/s),乾く時間(時間)
関東,16.5,72.0,0.9,9.61
関東,27.6,78.0,2.1,7.87
関東,16.3,75.0,2.4,9.43
関東,29.8,54.0,1.3,6.58
関東,27.7,61.0,1.4,6.67
関東,16.5,50.0,1.8,7.65
関東,16.5,78.0,0.6,9.2
関東,32.8,66.0,1.6,6.79
関東,21.7,53.0,1.2,7.68
関東,21.7,69.0,1.6,8.83
関東,29.6,67.0,0.9,7.6
関東,32.1,58.0,3.6,5.88
関東,32.7,49.0,2.6,5.99
関東,28.6,69.0,2.9,6.47
関東,21.8,63.0,3.3,7.64
関東,16.5,72.0,2.2,9.18
関東,29.0,63.0,0.8,7.0
関東,25.1,75.0,2.4,8.36
関東,22.6,64.0,2.6,7.83
関東,31.3,65.0,3.1,6.42
関東,17.0,76.0,2.0,9.33
関東,23.9,59.0,0.9,8.49
関東,15.2,50.0,1.5,8.27
関東,23.4,46.0,1.8,7.03
関東,16.0,71.0,2.8,8.68
関東,17.1,67.0,2.5,8.27
関東,17.1,70.0,1.7,9.15
関東,26.7,52.0,4.0,5.98
関東,28.4,50.0,2.6,6.31
関東,25.5,46.0,1.3,6.67
関東,32.3,57.0,0.9,6.87
関東,21.7,66.0,1.0,8.46
関東,20.1,59.0,1.4,8.42
関東,30.6,60.0,1.1,6.87
関東,19.0,77.0,1.2,9.12
関東,32.3,57.0,1.5,6.24
関東,15.2,63.0,1.1,8.86
関東,32.5,72.0,3.6,6.75
関東,15.8,59.0,0.8,9.04
関東,31.0,67.0,2.3,6.64
関東,24.5,75.0,1.9,8.5
関東,32.9,78.0,3.9,7.19
関東,16.3,50.0,0.9,8.4
関東,25.0,77.0,1.9,8.87
関東,32.4,62.0,3.9,5.82
関東,24.4,54.0,3.5,6.34
関東,26.3,61.0,3.4,6.35
関東,27.5,79.0,1.4,8.69
関東,23.2,62.0,1.1,8.2
関東,26.3,57.0,2.8,6.8
関東,25.5,67.0,3.8,7.25
関東,31.2,53.0,2.4,5.85
関東,15.8,48.0,2.5,8.47
関東,20.1,50.0,1.5,7.66
関東,32.1,49.0,3.2,5.7
関東,31.0,50.0,1.2,6.66
関東,23.2,50.0,1.6,7.36
関東,26.2,67.0,2.0,7.7
関東,20.0,51.0,2.3,7.25
関東,18.4,57.0,1.3,8.39
関東,23.3,76.0,0.9,9.31
関東,21.4,62.0,2.6,8.13
関東,25.5,68.0,1.5,8.38
関東,16.4,51.0,2.5,7.67
関東,32.5,52.0,1.0,6.07
関東,32.8,46.0,2.2,5.7
関東,27.6,51.0,2.4,6.55
関東,24.6,55.0,0.7,7.9
関東,20.6,51.0,1.7,7.08
関東,29.6,48.0,1.0,7.02
関東,27.3,49.0,0.7,6.92
関東,17.9,61.0,4.0,7.59
関東,31.4,52.0,1.6,6.05
関東,29.8,58.0,3.3,5.81
関東,32.1,63.0,1.4,7.11
関東,28.1,69.0,2.9,7.25
関東,26.0,46.0,3.2,5.86
関東,22.5,73.0,2.6,7.78
関東,31.8,67.0,2.2,6.79
関東,30.6,48.0,1.9,6.64
関東,15.8,76.0,1.7,9.29
関東,15.5,77.0,3.8,8.43
関東,21.8,47.0,3.4,6.65
関東,29.6,55.0,3.9,5.94
関東,32.8,73.0,0.9,6.64
関東,17.7,71.0,3.1,8.5
関東,25.7,51.0,3.8,6.29
関東,21.9,52.0,1.1,7.86
関東,32.5,58.0,0.7,7.34
関東,30.2,62.0,3.1,6.89
関西,16.2,55.0,2.1,8.0
関西,27.9,64.0,2.9,7.32
関西,19.2,68.0,1.5,8.85
関西,33.3,74.0,2.4,7.55
関西,18.7,52.0,3.2,7.6
関西,23.5,45.0,2.3,6.64
関西,17.5,50.0,1.2,8.2
関西,33.9,77.0,0.6,7.91
関西,25.0,76.0,3.1,8.09
関西,26.7,66.0,0.6,8.07
関西,17.2,66.0,3.1,8.62
関西,29.5,68.0,2.1,7.6
関西,19.8,51.0,3.3,7.6
関西,32.2,77.0,2.9,7.32
関西,19.7,60.0,3.5,7.52
関西,19.4,58.0,1.6,8.17
関西,16.7,63.0,2.8,8.68
関西,24.5,47.0,1.7,6.64
関西,26.2,51.0,1.9,6.93
関西,17.2,71.0,2.4,8.65
関西,30.0,48.0,3.1,5.87
関西,24.2,66.0,3.5,7.75
関西,25.4,54.0,2.8,6.84
関西,23.9,59.0,1.8,7.55
関西,23.2,55.0,1.8,7.03
関西,26.1,57.0,2.7,7.15
関西,18.8,70.0,1.2,9.08
関西,19.3,55.0,0.8,8.86
関西,31.5,65.0,1.6,6.9
関西,33.0,62.0,1.4,6.78
関西,22.7,68.0,1.4,8.34
関西,20.9,78.0,1.2,9.5
関西,27.6,71.0,0.6,8.0
関西,23.4,53.0,0.6,7.74
関西,16.5,46.0,3.5,7.47
関西,18.8,54.0,1.8,7.97
関西,28.9,66.0,1.7,7.2
関西,27.9,47.0,2.5,6.29
関西,16.5,62.0,1.2,9.12
関西,20.0,66.0,3.3,7.58
関西,20.2,57.0,2.9,7.6
関西,28.1,72.0,0.8,7.79
関西,16.4,49.0,1.8,8.31
関西,17.9,48.0,3.1,6.84
関西,30.4,70.0,3.3,6.71
関西,19.2,62.0,1.9,8.35
関西,27.7,69.0,2.3,7.89
関西,20.3,60.0,1.0,8.26
関西,17.8,54.0,3.5,7.34
関西,20.4,74.0,1.2,9.44
関西,29.0,73.0,3.3,6.74
関西,31.4,69.0,2.4,6.3
関西,30.9,55.0,2.3,6.45
関西,23.1,66.0,2.0,7.74
関西,28.0,58.0,1.2,6.85
関西,19.7,48.0,1.0,7.95
関西,21.3,77.0,1.2,9.03
関西,32.1,50.0,1.1,6.15
関西,16.2,78.0,2.8,8.73
関西,17.5,61.0,1.6,8.72
関西,19.7,51.0,0.7,8.2
関西,16.5,64.0,3.4,8.17
関西,19.3,76.0,3.2,9.07
関西,26.5,71.0,3.3,7.05
関西,23.6,73.0,3.5,7.33
関西,32.1,68.0,1.0,7.04
関西,30.7,69.0,1.7,7.26
関西,22.2,75.0,2.8,8.32
関西,20.7,54.0,2.6,7.36
関西,22.8,62.0,1.0,8.18
関西,26.6,53.0,2.9,6.18
関西,20.8,80.0,1.2,9.56
関西,27.2,78.0,1.2,8.26
関西,23.4,46.0,2.1,7.22
関西,25.9,70.0,2.3,7.79
関西,23.9,77.0,2.2,8.47
関西,21.3,51.0,0.8,7.95
関西,33.1,65.0,3.1,6.47
関西,29.7,77.0,1.3,8.09
関西,18.5,46.0,0.9,8.22
関西,31.6,69.0,3.2,6.78
関西,24.8,55.0,3.4,7.0
関西,32.1,77.0,3.1,7.06
関西,30.4,79.0,2.9,7.86
関西,23.7,78.0,2.5,8.12
関西,16.4,62.0,2.2,9.01
関西,20.8,75.0,0.8,9.02
関西,25.7,75.0,1.7,7.69
関西,27.4,56.0,1.6,7.07
関西,20.6,74.0,1.3,8.64
関西,18.5,46.0,2.7,7.54
関西,31.0,66.0,2.0,6.78
関西,33.7,53.0,0.7,6.25
関西,25.5,49.0,1.2,6.49
関西,19.1,48.0,2.5,7.19
関西,20.9,69.0,0.7,8.01
関西,16.3,57.0,3.1,7.49
関西,32.5,70.0,2.0,7.26
関西,18.1,47.0,1.9,7.84
関西,26.4,56.0,2.3,7.08
沖縄,31.7,86.0,5.0,7.18
沖縄,20.6,75.0,2.8,8.55
沖縄,27.2,67.0,2.5,7.31
沖縄,21.6,86.0,4.0,8.48
沖縄,23.6,73.0,4.6,7.45
沖縄,34.8,75.0,4.4,6.22
沖縄,22.1,71.0,4.6,7.79
沖縄,27.5,78.0,3.0,8.37
沖縄,29.3,65.0,4.7,6.16
沖縄,30.5,72.0,1.5,7.05
沖縄,28.4,89.0,3.5,7.99
沖縄,20.1,68.0,1.0,9.44
沖縄,24.9,80.0,2.5,8.02
沖縄,27.8,70.0,2.6,7.85
沖縄,21.3,83.0,2.8,9.27
沖縄,25.3,64.0,4.1,6.76
沖縄,20.5,89.0,2.7,9.34
沖縄,21.2,74.0,3.0,8.72
沖縄,26.0,67.0,2.1,7.51
沖縄,22.0,62.0,2.7,7.61
沖縄,28.5,65.0,2.0,7.05
沖縄,30.3,76.0,1.3,7.44
沖縄,32.0,70.0,3.7,6.36
沖縄,23.0,85.0,4.0,7.91
沖縄,22.5,73.0,3.8,7.82
沖縄,21.6,67.0,3.1,7.63
沖縄,29.5,79.0,2.7,7.64
沖縄,30.6,81.0,4.9,6.46
沖縄,20.5,65.0,3.3,7.89
沖縄,34.0,65.0,3.2,6.47
沖縄,20.8,61.0,1.1,7.63
沖縄,28.1,82.0,2.5,8.08
沖縄,30.6,80.0,2.7,7.87
沖縄,33.1,74.0,2.8,6.54
沖縄,30.7,85.0,3.6,8.0
沖縄,32.0,84.0,3.4,7.47
沖縄,25.1,78.0,3.7,7.53
沖縄,32.2,86.0,4.4,7.09
沖縄,21.2,66.0,4.7,7.53
沖縄,33.4,63.0,4.2,5.91
沖縄,28.2,68.0,5.3,6.59
沖縄,32.3,62.0,1.1,6.61
沖縄,26.8,76.0,1.9,8.07
沖縄,29.7,88.0,1.0,8.11
沖縄,27.9,61.0,3.9,6.5
沖縄,31.0,64.0,5.0,5.68
沖縄,21.2,74.0,2.1,8.28
沖縄,20.9,88.0,5.2,8.71
沖縄,23.7,69.0,1.3,8.58
沖縄,22.4,75.0,5.2,7.69
沖縄,33.1,61.0,2.6,5.99
沖縄,23.3,64.0,1.5,7.9
沖縄,34.6,90.0,3.2,7.73
沖縄,25.1,89.0,2.2,8.84
沖縄,22.7,60.0,2.3,8.29
沖縄,31.8,89.0,2.4,8.01
沖縄,29.9,79.0,4.6,7.05
沖縄,27.5,86.0,3.4,7.88
沖縄,28.3,74.0,2.4,7.6
沖縄,30.8,75.0,3.7,6.91
沖縄,23.4,75.0,4.2,7.87
沖縄,34.9,80.0,2.2,7.43
沖縄,34.6,64.0,2.9,5.96
沖縄,29.8,61.0,1.5,6.61
沖縄,23.0,69.0,1.8,7.61
沖縄,30.2,81.0,4.1,7.37
沖縄,21.1,66.0,1.8,7.9
沖縄,20.5,80.0,3.4,7.9
沖縄,23.9,89.0,4.2,8.45
沖縄,26.9,63.0,1.5,8.21
沖縄,33.0,80.0,3.6,6.98
沖縄,30.9,73.0,2.2,7.56
沖縄,31.1,86.0,5.3,6.99
沖縄,26.4,65.0,3.2,7.12
沖縄,25.2,81.0,4.6,7.9
沖縄,25.6,85.0,3.5,8.06
沖縄,34.8,88.0,1.2,7.96
沖縄,20.6,80.0,3.8,8.49
沖縄,33.0,75.0,5.3,6.0
沖縄,28.7,79.0,3.7,7.67
沖縄,26.6,86.0,4.7,7.66
沖縄,30.9,77.0,5.0,6.43
沖縄,27.3,61.0,2.0,7.32
沖縄,33.1,88.0,2.0,7.57
沖縄,33.5,81.0,3.7,6.9
沖縄,26.3,80.0,2.8,8.0
沖縄,24.2,66.0,4.8,7.32
沖縄,28.9,80.0,5.1,7.15
沖縄,33.7,72.0,2.6,6.76
沖縄,23.2,80.0,2.1,8.82
沖縄,29.3,63.0,4.5,6.7
沖縄,29.5,80.0,2.2,7.95
沖縄,31.0,90.0,4.7,7.37
沖縄,22.0,61.0,2.9,7.17
沖縄,30.7,89.0,4.0,7.26
沖縄,33.6,72.0,1.4,7.05
沖縄,22.7,86.0,3.8,8.26
沖縄,23.6,83.0,3.0,8.38
沖縄,34.6,77.0,3.6,6.63
沖縄,22.7,82.0,1.8,9.01
